timestamp,node_i,node_j
1996-07-03,0,0
1996-07-08,0,1
1996-07-13,0,3
1996-07-31,0,3
1996-09-08,4,2
1996-10-19,0,3
1997-07-16,4,2
1998-06-13,1,2
1998-08-17,2,3
1999-08-26,0,3
1999-09-16,0,3
2000-07-03,2,0
2000-08-11,4,0
2000-08-28,3,0
2000-09-03,2,2
2001-06-17,1,3
2001-08-13,2,3
2002-06-26,4,2
2002-08-16,3,3
2002-09-02,4,2
2003-07-22,0,2
2003-08-04,0,3
2003-08-17,3,0
2003-09-23,0,3
2004-06-17,3,3
2004-06-25,0,1
2004-07-02,2,1
2004-08-11,0,2
2004-09-08,1,3
2004-09-18,2,0
2004-09-28,2,2
2005-07-06,0,2
2005-10-14,4,3
2006-06-02,3,2
2006-06-29,0,3
2006-07-12,4,3
2006-07-21,2,3
2006-08-11,1,0
2006-08-25,1,0
2006-10-28,0,1
2007-06-04,0,3
2007-06-28,2,2
2007-07-11,1,3
2007-07-18,2,1
2007-08-08,3,2
2007-10-11,0,0
2008-06-14,2,3
2008-06-22,0,2
2008-07-28,1,0
2008-08-11,0,0
2008-08-14,0,0
2008-08-15,0,0
2008-09-06,0,3
2009-07-27,0,3
2009-07-29,0,3
2010-08-23,4,2
2010-10-01,0,3
2010-10-12,1,0
2011-08-01,4,1
2011-08-14,1,1
2011-08-20,1,2
2011-08-22,1,0
2012-06-07,1,0
2012-06-22,1,3
2012-07-18,2,2
2012-08-01,4,1
2012-08-15,0,2
2012-09-08,0,2
2013-05-08,0,3
2013-05-09,0,3
2013-05-23,1,3
2013-06-03,1,3
2013-09-02,1,3
2014-05-10,2,3
2014-05-17,0,3
2014-06-13,0,3
2014-07-03,0,3
2014-07-04,0,2
2014-07-15,0,2
2014-08-31,3,3
2014-10-22,4,0
2015-05-31,1,3
2015-07-15,1,0
2015-07-30,2,3
2016-07-25,3,3
2017-05-05,0,3
2017-06-19,0,3
2017-08-02,0,2
2017-08-04,0,3
2018-06-28,3,2
2018-07-17,2,2
2018-07-27,0,3
2018-08-04,4,3
2018-08-07,3,3
2018-08-11,4,0
2018-09-25,3,3
2018-09-28,1,3
2019-07-18,3,2
2019-07-22,1,2
2019-07-23,0,1
2019-07-31,1,3
2019-08-07,0,3
2020-07-10,4,3
2021-06-08,4,3
2021-07-02,2,0
2021-07-08,1,2
2021-08-22,4,3
2021-08-27,3,3
2021-09-01,0,1
2022-07-18,4,2
2022-09-13,0,3
2023-07-16,1,3
2023-09-29,4,3
2024-08-06,2,2
