timestamp,node_i,node_j
1996-07-03,4,0
1996-07-08,4,1
1996-07-13,4,3
1996-07-31,4,3
1996-09-08,4,3
1996-10-19,0,0
1997-07-15,1,1
1998-06-13,3,3
1998-08-17,1,3
1999-08-26,4,3
1999-09-16,4,3
2000-07-03,2,1
2000-08-11,1,0
2000-08-28,1,0
2000-09-03,2,1
2001-06-17,1,3
2001-08-13,2,3
2002-06-26,1,2
2002-08-16,0,3
2002-09-02,0,2
2003-07-22,4,3
2003-08-04,4,3
2003-08-17,2,0
2003-09-23,4,3
2004-06-17,1,3
2004-06-25,4,3
2004-07-02,2,1
2004-08-11,4,3
2004-09-08,3,3
2004-09-18,2,2
2004-09-28,3,3
2005-07-06,4,3
2005-10-14,0,0
2006-06-01,0,2
2006-06-02,2,2
2006-06-29,3,3
2006-07-12,1,3
2006-07-21,2,2
2006-08-10,2,0
2006-08-25,3,0
2006-10-28,4,2
2007-06-04,4,3
2007-06-27,0,3
2007-07-11,4,3
2007-07-18,3,2
2007-08-08,1,3
2007-10-11,4,0
2008-06-14,0,3
2008-06-22,4,2
2008-07-27,4,0
2008-08-11,4,0
2008-08-14,4,0
2008-08-15,4,0
2008-09-06,4,3
2009-07-26,4,3
2009-07-29,4,3
2010-08-23,0,0
2010-10-01,4,3
2010-10-11,3,0
2011-08-01,1,0
2011-08-14,4,1
2011-08-19,3,0
2011-08-21,3,2
2012-06-06,4,0
2012-06-22,3,2
2012-07-18,2,2
2012-08-01,3,1
2012-08-15,4,1
2012-09-08,4,3
2013-05-08,0,0
2013-05-09,3,3
2013-05-23,3,3
2013-06-03,3,3
2013-09-02,4,2
2014-05-10,2,3
2014-05-17,4,3
2014-06-13,4,3
2014-07-02,3,3
2014-07-03,4,3
2014-07-15,4,3
2014-08-31,1,3
2014-10-22,0,0
2015-05-31,2,3
2015-07-15,4,0
2015-07-30,0,3
2016-07-25,1,2
2017-05-05,4,3
2017-06-19,4,3
2017-08-02,4,2
2017-08-04,4,3
2018-06-28,1,2
2018-07-17,2,3
2018-07-27,4,3
2018-08-04,0,3
2018-08-07,1,3
2018-08-11,1,0
2018-09-25,0,3
2018-09-28,2,3
2019-07-17,1,3
2019-07-22,3,3
2019-07-23,4,1
2019-07-31,1,2
2019-08-07,4,2
2020-07-10,0,2
2021-06-08,0,3
2021-07-02,4,0
2021-07-08,4,3
2021-08-22,0,1
2021-08-27,0,3
2021-09-01,4,1
2022-07-18,3,3
2022-09-13,4,2
2023-07-16,4,3
2023-09-29,0,1
2024-08-06,2,3
